,Number of Divisors,Sum of Divisors,Euler Totient,Mobius Function,Sum of Proper Divisors,Sum of Digits,Product of Digits,Number of Prime Factors,Number of Distinct Prime Factors,name
1,1,1,1,1,0,1,1,0,0,1
2,2,3,1,-1,1,2,2,1,1,2
3,2,4,2,-1,1,3,3,1,1,3
4,3,7,2,0,3,4,4,1,1,4
5,2,6,4,-1,1,5,5,1,1,5
6,4,12,2,1,6,6,6,2,2,6
7,2,8,6,-1,1,7,7,1,1,7
8,4,15,4,0,7,8,8,1,1,8
9,3,13,6,0,4,9,9,1,1,9
10,4,18,4,1,8,1,0,2,2,10
11,2,12,10,-1,1,2,1,1,1,11
12,6,28,4,0,16,3,2,2,2,12
13,2,14,12,-1,1,4,3,1,1,13
14,4,24,6,1,10,5,4,2,2,14
15,4,24,8,1,9,6,5,2,2,15
16,5,31,8,0,15,7,6,1,1,16
17,2,18,16,-1,1,8,7,1,1,17
18,6,39,6,0,21,9,8,2,2,18
19,2,20,18,-1,1,10,9,1,1,19
20,6,42,8,0,22,2,0,2,2,20
21,4,32,12,1,11,3,2,2,2,21
22,4,36,10,1,14,4,4,2,2,22
23,2,24,22,-1,1,5,6,1,1,23
24,8,60,8,0,36,6,8,2,2,24
25,3,31,20,0,6,7,10,1,1,25
26,4,42,12,1,16,8,12,2,2,26
27,4,40,18,0,13,9,14,1,1,27
28,6,56,12,0,28,10,16,2,2,28
29,2,30,28,-1,1,11,18,1,1,29
30,8,72,8,-1,42,3,0,3,3,30
31,2,32,30,-1,1,4,3,1,1,31
32,6,63,16,0,31,5,6,1,1,32
33,4,48,20,1,15,6,9,2,2,33
34,4,54,16,1,20,7,12,2,2,34
35,4,48,24,1,13,8,15,2,2,35
36,9,91,12,0,55,9,18,2,2,36
37,2,38,36,-1,1,10,21,1,1,37
38,4,60,18,1,22,11,24,2,2,38
39,4,56,24,1,17,12,27,2,2,39
40,8,90,16,0,50,4,0,2,2,40
41,2,42,40,-1,1,5,4,1,1,41
42,8,96,12,-1,54,6,8,3,3,42
43,2,44,42,-1,1,7,12,1,1,43
44,6,84,20,0,40,8,16,2,2,44
45,6,78,24,0,33,9,20,2,2,45
46,4,72,22,1,26,10,24,2,2,46
47,2,48,46,-1,1,11,28,1,1,47
48,10,124,16,0,76,12,32,2,2,48
49,3,57,42,0,8,13,36,1,1,49
50,6,93,20,0,43,5,0,2,2,50
51,4,72,32,1,21,6,5,2,2,51
52,6,98,24,0,46,7,10,2,2,52
53,2,54,52,-1,1,8,15,1,1,53
54,8,120,18,0,66,9,20,2,2,54
55,4,72,40,1,17,10,25,2,2,55
56,8,120,24,0,64,11,30,2,2,56
57,4,80,36,1,23,12,35,2,2,57
58,4,90,28,1,32,13,40,2,2,58
59,2,60,58,-1,1,14,45,1,1,59
60,12,168,16,0,108,6,0,3,3,60
61,2,62,60,-1,1,7,6,1,1,61
62,4,96,30,1,34,8,12,2,2,62
63,6,104,36,0,41,9,18,2,2,63
64,7,127,32,0,63,10,24,1,1,64
65,4,84,48,1,19,11,30,2,2,65
66,8,144,20,-1,78,12,36,3,3,66
67,2,68,66,-1,1,13,42,1,1,67
68,6,126,32,0,58,14,48,2,2,68
69,4,96,44,1,27,15,54,2,2,69
70,8,144,24,-1,74,7,0,3,3,70
71,2,72,70,-1,1,8,7,1,1,71
72,12,195,24,0,123,9,14,2,2,72
73,2,74,72,-1,1,10,21,1,1,73
74,4,114,36,1,40,11,28,2,2,74
75,6,124,40,0,49,12,35,2,2,75
76,6,140,36,0,64,13,42,2,2,76
77,4,96,60,1,19,14,49,2,2,77
78,8,168,24,-1,90,15,56,3,3,78
79,2,80,78,-1,1,16,63,1,1,79
80,10,186,32,0,106,8,0,2,2,80
81,5,121,54,0,40,9,8,1,1,81
82,4,126,40,1,44,10,16,2,2,82
83,2,84,82,-1,1,11,24,1,1,83
84,12,224,24,0,140,12,32,3,3,84
85,4,108,64,1,23,13,40,2,2,85
86,4,132,42,1,46,14,48,2,2,86
87,4,120,56,1,33,15,56,2,2,87
88,8,180,40,0,92,16,64,2,2,88
89,2,90,88,-1,1,17,72,1,1,89
90,12,234,24,0,144,9,0,3,3,90
91,4,112,72,1,21,10,9,2,2,91
92,6,168,44,0,76,11,18,2,2,92
93,4,128,60,1,35,12,27,2,2,93
94,4,144,46,1,50,13,36,2,2,94
95,4,120,72,1,25,14,45,2,2,95
96,12,252,32,0,156,15,54,2,2,96
97,2,98,96,-1,1,16,63,1,1,97
98,6,171,42,0,73,17,72,2,2,98
99,6,156,60,0,57,18,81,2,2,99
100,9,217,40,0,117,1,0,2,2,100
